mean,label
87.625,0
85.24,0
75.778,1
79.489,0
90.027,0
69.185,1
86.942,0
68.387,1
77.536,1
84.268,0
88.041,0
70.61,1
88.434,0
79.729,0
87.258,0
81.647,0
86.314,0
75.846,1
69.727,1
77.769,1
71.936,1
83.087,0
72.668,1
61.559,1
72.881,1
85.286,0
81.391,0
71.64,1
85.789,0
84.186,0
83.67,0
84.72,0
83.009,0
88.802,0
93.536,0
87.168,0
85.498,0
87.552,0
87.176,0
86.17,0
87.555,0
85.016,0
78.426,1
87.218,0
90.175,0
71.876,1
89.136,0
71.701,1
91.457,0
85.624,0
81.801,0
71.238,1
81.994,0
89.956,0
91.657,0
91.344,0
89.171,0
76.857,1
85.019,0
90.229,0
75.056,1
87.626,0
87.911,0
77.177,1
85.289,0
77.923,1
85.449,0
76.439,1
65.898,1
75.268,1
85.989,0
87.955,0
69.818,1
90.032,0
83.582,0
86.792,0
71.635,1
82.894,0
87.827,0
90.747,0
88.39,0
71.227,1
88.656,0
85.601,0
86.502,0
83.986,0
70.248,1
87.806,0
88.054,0
86.396,0
81.668,0
85.073,0
68.295,1
84.224,0
69.445,1
85.93,0
96.182,0
79.955,0
86.799,0
89.042,0
85.046,0
92.313,0
89.005,0
85.624,0
85.009,0
76.995,1
87.382,0
85.629,0
76.551,1
83.178,0
83.902,0
90.22,0
86.59,0
81.836,0
83.469,0
77.695,1
94.087,0
75.66,1
85.302,0
85.079,0
87.505,0
88.535,0
76.355,1
78.431,1
71.475,1
92.185,0
75.093,1
76.555,1
75.217,1
82.04,0
85.233,0
89.005,0
75.219,1
89.651,0
78.219,1
89.68,0
81.239,0
88.492,0
84.0,0
78.912,0
64.512,1
84.226,0
90.565,0
74.546,1
85.958,0
81.013,0
67.471,1
91.026,0
93.817,0
90.186,0
84.703,0
82.02,0
84.137,0
83.076,0
88.636,0
71.669,1
73.931,1
87.997,0
79.573,0
80.175,0
85.334,0
86.33,0
79.449,0
74.983,1
80.713,0
81.65,0
72.841,1
61.277,1
86.448,0
87.871,0
74.483,1
87.024,0
70.944,1
85.737,0
75.966,1
87.32,0
81.438,0
92.372,0
84.84,0
86.354,0
75.042,1
77.24,1
66.675,1
91.004,0
88.098,0
79.079,0
90.353,0
86.281,0
89.021,0
86.919,0
85.588,0
71.6,1
86.784,0
82.896,0
84.054,0
89.583,0
72.306,1
83.023,0
90.898,0
91.564,0
91.696,0
86.122,0
90.128,0
85.017,0
78.431,1
83.149,0
88.459,0
87.736,0
68.822,1
86.691,0
88.247,0
88.626,0
75.128,1
85.495,0
85.145,0
86.331,0
89.868,0
88.927,0
70.68,1
84.56,0
83.678,0
85.94,0
79.225,0
79.487,0
88.664,0
85.03,0
72.317,1
85.216,0
87.451,0
80.803,0
87.06,0
88.421,0
78.851,0
84.711,0
93.048,0
84.922,0
75.613,1
76.604,1
81.485,0
79.764,0
79.042,0
104.389,0
87.93,0
76.523,1
84.194,0
78.612,0
71.449,1
89.463,0
88.086,0
71.46,1
91.786,0
86.524,0
70.678,1
75.399,1
85.382,0
85.968,0
86.737,0
88.137,0
86.953,0
84.763,0
69.633,1
85.108,0
83.868,0
73.091,1
83.49,0
85.411,0
86.0,0
84.351,0
85.184,0
84.243,0
90.422,0
84.946,0
80.577,0
86.041,0
86.872,0
86.317,0
86.337,0
84.897,0
86.914,0
96.457,0
79.501,0
72.682,1
88.826,0
87.602,0
84.77,0
82.253,0
64.968,1
81.546,0
71.54,1
78.826,0
83.685,0
87.908,0
85.546,0
86.54,0
91.639,0
88.458,0
86.169,0
88.241,0
80.656,0
88.06,0
82.775,0
91.637,0
78.368,1
86.726,0
68.751,1
92.913,0
86.365,0
90.111,0
79.274,0
85.495,0
90.858,0
86.307,0
86.262,0
81.152,0
85.584,0
79.845,0
87.452,0
89.153,0
86.275,0
84.757,0
84.007,0
72.12,1
77.495,1
85.063,0
92.485,0
89.618,0
86.797,0
85.523,0
88.023,0
86.488,0
83.584,0
86.962,0
74.922,1
85.371,0
91.372,0
63.509,1
87.361,0
90.431,0
103.769,0
90.002,0
85.0,0
85.058,0
85.54,0
85.692,0
77.986,1
84.684,0
85.309,0
84.455,0
81.721,0
93.17,0
83.968,0
88.391,0
86.774,0
91.37,0
93.065,0
81.541,0
90.276,0
90.343,0
75.72,1
87.258,0
83.978,0
86.901,0
68.951,1
68.808,1
71.934,1
87.195,0
84.256,0
73.166,1
91.775,0
86.041,0
79.436,0
71.577,1
75.981,1
71.963,1
86.377,0
91.861,0
84.842,0
87.442,0
79.797,0
85.009,0
84.234,0
87.165,0
86.395,0
75.48,1
87.091,0
88.045,0
85.074,0
73.693,1
90.252,0
72.386,1
80.27,0
85.659,0
82.562,0
73.077,1
86.318,0
87.997,0
82.859,0
74.492,1
84.073,0
91.677,0
89.364,0
82.876,0
84.757,0
85.578,0
84.273,0
85.289,0
85.441,0
92.302,0
85.246,0
77.554,1
76.675,1
89.666,0
82.815,0
82.247,0
81.343,0
86.85,0
71.76,1
84.978,0
88.52,0
76.979,1
88.659,0
70.797,1
87.749,0
85.736,0
74.714,1
79.773,0
92.375,0
90.822,0
86.168,0
85.887,0
95.183,0
73.338,1
85.994,0
84.222,0
87.71,0
86.143,0
87.931,0
77.63,1
87.701,0
82.657,0
74.832,1
80.467,0
87.976,0
93.571,0
70.718,1
80.879,0
81.573,0
68.266,1
89.325,0
84.51,0
85.149,0
86.353,0
72.681,1
87.931,0
89.711,0
82.998,0
90.1,0
85.937,0
82.328,0
83.779,0
79.636,0
85.749,0
91.244,0
74.484,1
92.763,0
82.867,0
77.228,1
84.809,0
65.549,1
85.886,0
68.41,1
73.288,1
84.755,0
79.834,0
83.668,0
89.304,0
87.241,0
83.568,0
82.495,0
72.569,1
76.468,1
75.965,1
77.938,1
88.675,0
97.101,0
73.569,1
73.0,1
90.478,0
79.585,0
83.519,0
119.674,0
91.52,0
87.043,0
86.626,0
76.311,1
86.846,0
81.548,0
81.46,0
90.88,0
72.764,1
71.051,1
86.51,0
80.611,0
86.822,0
90.465,0
83.875,0
89.732,0
83.882,0
81.24,0
90.064,0
88.115,0
87.566,0
76.586,1
88.242,0
84.637,0
75.869,1
89.027,0
82.798,0
86.646,0
85.979,0
100.44,0
84.946,0
82.123,0
87.368,0
82.171,0
83.145,0
88.691,0
90.158,0
83.656,0
61.799,1
91.81,0
85.638,0
66.739,1
80.064,0
84.649,0
73.614,1
84.768,0
83.013,0
87.924,0
85.454,0
87.791,0
86.659,0
78.916,0
88.4,0
86.369,0
86.981,0
94.552,0
84.024,0
83.206,0
93.092,0
85.188,0
71.563,1
98.46,0
92.837,0
76.617,1
84.987,0
73.733,1
89.764,0
88.695,0
88.876,0
87.26,0
79.737,0
84.999,0
94.683,0
88.614,0
74.128,1
88.768,0
84.732,0
85.193,0
85.461,0
88.651,0
87.812,0
86.395,0
89.586,0
83.662,0
85.821,0
76.408,1
85.985,0
70.338,1
89.344,0
91.086,0
80.459,0
80.504,0
72.101,1
86.612,0
79.849,0
80.362,0
76.185,1
87.797,0
87.446,0
86.837,0
72.484,1
91.354,0
83.129,0
87.331,0
87.904,0
87.337,0
85.678,0
76.669,1
98.543,0
85.34,0
69.799,1
89.683,0
83.351,0
86.522,0
87.486,0
87.152,0
87.411,0
90.03,0
85.669,0
73.639,1
86.866,0
83.692,0
80.152,0
81.822,0
92.174,0
88.285,0
88.066,0
83.621,0
84.63,0
85.668,0
76.379,1
87.88,0
88.435,0
63.542,1
82.941,0
66.858,1
90.367,0
88.116,0
69.164,1
84.725,0
81.708,0
88.047,0
83.9,0
82.704,0
86.408,0
86.689,0
94.548,0
67.404,1
106.877,0
86.688,0
78.735,0
89.455,0
84.687,0
74.946,1
88.746,0
74.752,1
79.228,0
84.075,0
66.292,1
91.251,0
68.986,1
86.58,0
85.235,0
88.335,0
78.148,1
88.717,0
85.61,0
79.702,0
84.513,0
78.592,0
87.785,0
87.677,0
84.55,0
87.828,0
87.545,0
72.394,1
88.792,0
78.717,0
88.529,0
90.407,0
86.688,0
83.601,0
87.814,0
83.961,0
85.31,0
88.21,0
83.565,0
85.464,0
88.098,0
70.682,1
103.045,0
73.847,1
83.647,0
84.202,0
71.908,1
87.401,0
90.103,0
68.674,1
85.184,0
82.794,0
87.654,0
74.474,1
